Year,Rank_1_Factor,Rank_1_Loading,Rank_2_Factor,Rank_2_Loading,Rank_3_Factor,Rank_3_Loading
2015,"GDP per capita, PPP (constant 2021 international $)",0.42783104495949187,Birth Rate,-0.4113229454375892,Average household size (number of members),-0.39753673436345
2016,"GDP per capita, PPP (constant 2021 international $)",0.4357997344197385,Birth Rate,-0.4141986026333401,Average household size (number of members),-0.40300378580245827
2017,"GDP per capita, PPP (constant 2021 international $)",0.43632383073419057,Birth Rate,-0.4116519747184037,Average household size (number of members),-0.40194710890242114
2018,"GDP per capita, PPP (constant 2021 international $)",0.4393771831090393,Birth Rate,-0.41497915939852925,Average household size (number of members),-0.4024467208999416
2019,"GDP per capita, PPP (constant 2021 international $)",0.44166172139914317,Birth Rate,-0.4164239871695662,Average household size (number of members),-0.4044163808825735
2020,"GDP per capita, PPP (constant 2021 international $)",0.420218277052247,Birth Rate,-0.39455273223201653,Average household size (number of members),-0.3871783343008177
2021,"GDP per capita, PPP (constant 2021 international $)",0.4069329689629115,Birth Rate,-0.3835287085829305,Public health expenditure as a share of GDP,0.3823362003869797
2022,"GDP per capita, PPP (constant 2021 international $)",0.44344643148372476,Birth Rate,-0.4101065485559989,Average household size (number of members),-0.3975352119481564
2023,"GDP per capita, PPP (constant 2021 international $)",0.4545450258129368,Birth Rate,-0.4375927353673142,Average household size (number of members),-0.4233710982401592
2024,"GDP per capita, PPP (constant 2021 international $)",0.5521041684861067,Average household size (number of members),-0.4898420602928818,Urban population (% of total population),0.47143820167142114
