Year,Metric,Correlation,P-value,N,Significance
2018,GDP per Capita,0.03267981611976139,0.8795093914733858,24,ns
2018,Urban Population (%),0.033913043478260865,0.8749966229566861,24,ns
2018,Birth Rate,0.44,0.03142771515017861,24,*
2018,Net Migration,0.023478260869565212,0.9132865779270147,24,ns
2018,Population Density,-0.44260869565217387,0.030321189497146267,24,*
2018,Political Stability Index,-0.34521739130434775,0.09849909879561232,24,.
2018,Household Size,0.38538498643575053,0.06291583148104542,24,.
2018,Vaccine Coverage 1st Dose (%),-0.46766873386500846,0.02119765773980909,24,*
2018,Vaccine Coverage 2nd Dose (%),-0.40146181415036086,0.05184042148202701,24,.
2018,Year,,,24,
