Code,Country,Year,HIC,BaselineIncidence,InterventionIncidence,Change,PercentChange,InterventionApplied,IncomeGroup,Intervention
YEM,Yemen,2024,0,591.13,377.2378063444639,-213.8921936555361,-36.18361336008998,1,Low income,MCV1_95
AFG,Afghanistan,2024,0,229.06,164.06475565005823,-64.99524434994177,-28.374768335769403,1,Low income,MCV1_95
SSD,South Sudan,2024,0,257.55,212.61766022510608,-44.93233977489393,-17.446064754368663,1,Low income,MCV1_95
LBR,Liberia,2024,0,399.98,358.9664406909868,-41.01355930901326,-10.25390252237687,1,Low income,MCV1_95
CIV,Côte d'Ivoire,2024,0,207.58,175.67670131410787,-31.90329868589214,-15.36915824543635,1,Lower middle income,MCV1_95
BEN,Benin,2024,0,53.86,34.926729290607426,-18.933270709392573,-35.15274918187416,1,Lower middle income,MCV1_95
SOM,Somalia,2024,0,79.75,61.43064047246433,-18.319359527535667,-22.97098373355824,1,Low income,MCV1_95
BFA,Burkina Faso,2024,0,309.57,292.03994131604594,-17.530058683954053,-5.662712370045028,1,Low income,MCV1_95
BDI,Burundi,2024,0,186.22,172.74416148251885,-13.47583851748115,-7.236515152762279,1,Low income,MCV1_95
COD,Democratic Republic of the Congo,2024,0,46.54,33.1092692497773,-13.4307307502227,-28.85846744777362,1,Low income,MCV1_95
NGA,Nigeria,2024,0,47.05,34.052255445977664,-12.997744554022333,-27.6253869372895,1,Lower middle income,MCV1_95
TCD,Chad,2024,0,57.05,44.63171816730663,-12.418281832693369,-21.767365175585628,1,Low income,MCV1_95
GIN,Guinea,2024,0,43.04,31.93698890004266,-11.10301109995734,-25.796958875305627,1,Lower middle income,MCV1_95
SDN,Sudan,2024,0,28.78,18.828776142240564,-9.951223857759436,-34.57687233399882,1,Low income,MCV1_95
CAF,Central African Republic,2024,0,22.14,13.781252155457226,-8.358747844542775,-37.75405530490072,1,Low income,MCV1_95
DJI,Djibouti,2024,0,51.34,43.33434915514625,-8.005650844853754,-15.593398607008494,1,Lower middle income,MCV1_95
PAK,Pakistan,2024,0,96.56,89.53776516523091,-7.022234834769094,-7.272405586953005,1,Lower middle income,MCV1_95
NER,Niger,2024,0,62.63,55.649562017592224,-6.9804379824077785,-11.145518094198678,1,Low income,MCV1_95
GNB,Guinea-Bissau,2024,0,25.44,19.61205910936821,-5.82794089063179,-22.908572683211016,1,Low income,MCV1_95
CMR,Cameroon,2024,0,29.84,24.26982952538382,-5.57017047461618,-18.666791134710166,1,Lower middle income,MCV1_95
COG,Congo,2024,0,28.74,23.57160787118413,-5.168392128815867,-17.983271151001684,1,Lower middle income,MCV1_95
GHA,Ghana,2024,0,121.68,116.6929427837085,-4.987057216291504,-4.098501985772029,1,Lower middle income,MCV1_95
MOZ,Mozambique,2024,0,20.39,15.675187002624275,-4.714812997375724,-23.12316330236685,1,Low income,MCV1_95
AGO,Angola,2024,0,14.99,10.28372162916963,-4.70627837083037,-31.396119885249995,1,Lower middle income,MCV1_95
TGO,Togo,2024,0,41.2,36.57050946318393,-4.629490536816071,-11.236627516516586,1,Low income,MCV1_95
PHL,Philippines,2024,0,34.56,30.397257622687626,-4.16274237731238,-12.044972156540322,1,Lower middle income,MCV1_95
