,PC1,PC2,PC3
"GDP per capita, PPP (constant 2021 international $)",0.42746970346036933,-0.07464054524366087,0.1742300756855259
"Current health expenditure per capita, PPP (current international $)",0.4301391738983149,-0.11399892428652984,0.03161695718114858
Share that disagrees vaccines are effective,0.09092693008369936,0.7797622697551573,-0.2788011200049011
Urban population (% of total population),0.37263819130699055,-0.051937905233444874,-0.006070306844516682
Birth Rate,-0.4043148484321346,-0.2535207832962906,0.0887123292439086
Net Migration,0.1784400424008601,-0.5203803392256054,-0.3696164328645975
Population Density,0.11637001829822863,0.10396873712471212,0.8450886092028552
Political Stability Index,0.35338313533140003,-0.10635785599896565,0.03299767823302566
Average household size (number of members),-0.38908874126153686,-0.11625968383651046,0.17643000489551702
Year,0.0,-0.0,-0.0
