Year,Rank_1_Factor,Rank_1_Coefficient,Rank_2_Factor,Rank_2_Coefficient,Rank_3_Factor,Rank_3_Coefficient
2015,Share that disagrees vaccines are effective,-15.227624946705133,Net Migration,10.162272454981526,Birth Rate,4.950892796394227
2016,Share that disagrees vaccines are effective,-2.5540887196571953,Net Migration,2.3809121348601114,Population Density,-1.618342011464426
2017,Population Density,-0.27751363410085766,Net Migration,0.2307602099690917,"GDP per capita, PPP (constant 2021 international $)",-0.051502582580249895
2018,Population Density,3.5026973062509694,Net Migration,-3.0434726944949912,"GDP per capita, PPP (constant 2021 international $)",0.6764370015502372
2019,Share that disagrees vaccines are effective,3.241378323988386,Net Migration,-2.591153164462065,Birth Rate,-1.155974163829418
2020,Net Migration,-0.6474238427169959,Population Density,0.6360389907354669,"GDP per capita, PPP (constant 2021 international $)",0.10052620373171277
2021,Population Density,0.6691775418861287,Net Migration,-0.4876302085521446,"GDP per capita, PPP (constant 2021 international $)",0.1722820447561107
2022,Net Migration,5.314068623038852,Share that disagrees vaccines are effective,3.6888396482189423,Birth Rate,1.2311021644863498
2023,Share that disagrees vaccines are effective,-3.0439176720833414,"Current health expenditure per capita, PPP (current international $)",1.5037351451058214,Population Density,1.450545462699096
2024,Share that disagrees vaccines are effective,-0.45689303378280927,Net Migration,0.13194175408963416,Urban population (% of total population),-0.06741674981079486
