Year,Rank_1_Factor,Rank_1_Coefficient,Rank_2_Factor,Rank_2_Coefficient,Rank_3_Factor,Rank_3_Coefficient
2015,Population Density,-10.292756230490623,Net Migration,4.501743131820634,Share that disagrees vaccines are effective,3.395658080997022
2016,Population Density,-9.85771478476631,Share that disagrees vaccines are effective,7.46574603033388,"GDP per capita, PPP (constant 2021 international $)",-2.497242255976715
2017,Net Migration,2.221677651873886,Population Density,1.8011870359660935,Birth Rate,1.0272805187983907
2018,Net Migration,-15.00999500517884,Population Density,-12.876202145734066,Average household size (number of members),-6.040992720165561
2019,Population Density,-4.596977937958995,Share that disagrees vaccines are effective,2.1620664564369583,Net Migration,1.9936917188381948
2020,Population Density,2.2573395013881687,Net Migration,2.225138588122161,Share that disagrees vaccines are effective,1.1026231201265544
2021,Net Migration,1.737448383469785,Population Density,0.9378058591210684,Share that disagrees vaccines are effective,0.9208941793259229
2022,Population Density,3.063494627873114,Average household size (number of members),0.7764492698885648,"GDP per capita, PPP (constant 2021 international $)",0.5476702528867076
2023,Population Density,-2.958501123930963,Net Migration,2.4530341165594347,"Current health expenditure per capita, PPP (current international $)",0.4847409003133257
2024,Net Migration,4.340786939532981,Share that disagrees vaccines are effective,1.233853987843193,"GDP per capita, PPP (constant 2021 international $)",-1.165937479473186
