,PC1,PC2,PC3
"GDP per capita, PPP (constant 2021 international $)",0.4323587104510027,-0.007427722444875093,0.18982986812169167
"Current health expenditure per capita, PPP (current international $)",0.42813244926687355,-0.16349686986314993,0.03678961232654553
Share that disagrees vaccines are effective,0.06125770043281961,0.640640923646215,-0.5675146578096099
Urban population (% of total population),0.36930935425604555,-0.021759348259533687,0.05964718583063167
Birth Rate,-0.40675797454727364,-0.17347003404867192,0.1431235549269798
Net Migration,0.17618563826832448,-0.5972031188493669,-0.16732497899270254
Population Density,0.11836897760288244,0.4059279981234158,0.7493420764825018
Political Stability Index,0.35331761687324253,0.10215435772494777,-0.09353242823252499
Average household size (number of members),-0.39279595738373324,0.01904914324422577,0.13504298833877987
Year,0.0,-0.0,0.0
