,PC1,PC2,PC3
"GDP per capita, PPP (constant 2021 international $)",0.418989004115002,-0.10876946293949603,0.14258814033555986
"Current health expenditure per capita, PPP (current international $)",0.4153250399599697,0.0829090729308134,0.1490547956623379
Share that disagrees vaccines are effective,-0.3096839236673786,0.05610286309773429,0.2994366608002397
Urban population (% of total population),0.3504531118238852,-0.04129733917165619,-0.11545589084987189
Birth Rate,-0.38947182087860416,0.00046558316988358527,0.22483710477808547
Net Migration,0.10417071400903243,0.7005133094898438,0.6042754378019808
Population Density,0.11273682987429132,-0.6881948871312173,0.613020160969027
Political Stability Index,0.33690864328244496,0.019655070771237997,0.13837156235704798
Average household size (number of members),-0.38009860010756485,-0.10828042328375803,0.20932744235570144
Year,-0.0,-0.0,-0.0
