,PC1,PC2,PC3
"GDP per capita, PPP (constant 2021 international $)",0.4098268203977563,0.2000991136133674,0.19137396419348754
"Current health expenditure per capita, PPP (current international $)",0.4055595350661697,-0.036997712489084386,0.2373302737145002
Share that disagrees vaccines are effective,-0.3291159141998164,0.07056355643344153,0.36122804167808353
Urban population (% of total population),0.3494866966660393,-0.03135869138114071,-0.1603250414815336
Birth Rate,-0.38692855049095926,0.012370443350277618,0.32071431137015133
Net Migration,0.18168038910857662,-0.566364142244282,0.6815279009982935
Population Density,0.12662619097004726,0.7772245399742216,0.36786178213495
Political Stability Index,0.3156366191377166,0.09016423744894607,0.0902174381119288
Average household size (number of members),-0.37245546058758083,0.13964235116314705,0.20015270104367913
Year,-0.0,0.0,-0.0
