Year,Rank_1_Factor,Rank_1_Loading,Rank_2_Factor,Rank_2_Loading,Rank_3_Factor,Rank_3_Loading
2015,Population Density,0.8450886092028552,Net Migration,-0.3696164328645975,Share that disagrees vaccines are effective,-0.2788011200049011
2016,Population Density,0.7493420764825018,Share that disagrees vaccines are effective,-0.5675146578096099,"GDP per capita, PPP (constant 2021 international $)",0.18982986812169167
2017,Net Migration,0.6933746014356515,Population Density,0.5621415609598734,Birth Rate,0.32060916653847527
2018,Net Migration,0.6871417383055791,Population Density,0.589458951994389,Average household size (number of members),0.2765502744933428
2019,Population Density,0.8143513341519428,Share that disagrees vaccines are effective,-0.3830085171360041,Net Migration,-0.35318105351717405
2020,Population Density,0.613020160969027,Net Migration,0.6042754378019808,Share that disagrees vaccines are effective,0.2994366608002397
2021,Net Migration,0.6815279009982935,Population Density,0.36786178213495,Share that disagrees vaccines are effective,0.36122804167808353
2022,Population Density,0.9230238623087421,Average household size (number of members),0.23394237334664914,"GDP per capita, PPP (constant 2021 international $)",0.16501178343572145
2023,Population Density,0.7534449548513269,Net Migration,-0.6247170786077472,"Current health expenditure per capita, PPP (current international $)",-0.12344953422423909
2024,Net Migration,0.9187117904147446,Share that disagrees vaccines are effective,0.2611407152832408,"GDP per capita, PPP (constant 2021 international $)",-0.24676643295321699
