,PC1,PC2,PC3
"GDP per capita, PPP (constant 2021 international $)",0.4386600409472858,-0.05501428862913402,0.18261018752770378
"Current health expenditure per capita, PPP (current international $)",0.4348894879367873,-0.21489926990419903,-0.013643925814352115
Share that disagrees vaccines are effective,0.030254443306885252,0.7198444146769872,-0.3830085171360041
Urban population (% of total population),0.3616491606583956,0.09061387584169438,-0.010923180382356634
Birth Rate,-0.40890092664808997,-0.2567184272151284,0.10972696162509586
Net Migration,0.16843865970763963,-0.5754425884836335,-0.35318105351717405
Population Density,0.1192563534748627,0.14594541550869078,0.8143513341519428
Political Stability Index,0.34603400935242323,0.023573652747589036,0.011772630453125033
Average household size (number of members),-0.396497026020457,-0.07423322086601379,0.13988913359254218
Year,0.0,-0.0,0.0
