,PC1,PC2,PC3
"GDP per capita, PPP (constant 2021 international $)",0.441012830163952,0.09422547154287969,0.16501178343572145
"Current health expenditure per capita, PPP (current international $)",0.42866235636412164,0.09053318013299567,-0.03929841487740743
Share that disagrees vaccines are effective,-0.12553017962750634,0.5470187975681309,-0.1040703633171638
Urban population (% of total population),0.36167292804053514,-0.04025103097795575,-0.09798178902973653
Birth Rate,-0.4064923452866049,0.18256039565883458,0.1506848646625587
Net Migration,0.1221395676930114,0.7880243397873807,-0.14084500015136053
Population Density,0.13363885970527647,0.1014960900719618,0.9230238623087421
Political Stability Index,0.3490946308366838,0.0460463015269853,0.03937445197879674
Average household size (number of members),-0.39409469435307576,0.12386774025225336,0.23394237334664914
Year,-0.0,0.0,-0.0
