Year,Metric,Correlation,P-value,N,Significance
2016,GDP per Capita,-0.17614141075547904,0.021194497871476186,171,*
2016,Health Expenditure (% GDP),0.10806524411874245,0.44572376740861885,52,ns
2016,Vaccine Hesitancy (%),0.6179143806533246,0.1910939016901931,6,ns
2016,Urban Population (%),-0.15910088240739373,0.03441337963972468,177,*
2016,Birth Rate,0.31469999670130167,1.9896803407556913e-05,177,***
2016,Net Migration,0.08980054448382813,0.2359201498178077,176,ns
2016,Population Density,-0.08205034639771705,0.2776089273951431,177,ns
2016,Political Stability Index,-0.3197524725940797,1.43566714418066e-05,177,***
2016,Household Size,0.2852312362879142,0.0003363471501660154,154,***
2016,Vaccine Coverage 1st Dose (%),-0.2423501448797541,0.0011540385444514382,177,**
2016,Vaccine Coverage 2nd Dose (%),-0.09649392957628189,0.24334344068724215,148,ns
