Code,Country,Year,HIC,BaselineIncidence,InterventionIncidence,Change,PercentChange,InterventionApplied,IncomeGroup,Intervention
YEM,Yemen,2024,0,591.13,377.2378063444639,-213.8921936555361,-36.18361336008998,1,Low income,MCV1_95
AFG,Afghanistan,2024,0,229.06,164.06475565005823,-64.99524434994177,-28.374768335769403,1,Low income,MCV1_95
SSD,South Sudan,2024,0,257.55,212.61766022510608,-44.93233977489393,-17.446064754368663,1,Low income,MCV1_95
LBR,Liberia,2024,0,399.98,358.9664406909868,-41.01355930901326,-10.25390252237687,1,Low income,MCV1_95
SOM,Somalia,2024,0,79.75,61.43064047246433,-18.319359527535667,-22.97098373355824,1,Low income,MCV1_95
BFA,Burkina Faso,2024,0,309.57,292.03994131604594,-17.530058683954053,-5.662712370045028,1,Low income,MCV1_95
BDI,Burundi,2024,0,186.22,172.74416148251885,-13.47583851748115,-7.236515152762279,1,Low income,MCV1_95
COD,Democratic Republic of the Congo,2024,0,46.54,33.1092692497773,-13.4307307502227,-28.85846744777362,1,Low income,MCV1_95
TCD,Chad,2024,0,57.05,44.63171816730663,-12.418281832693369,-21.767365175585628,1,Low income,MCV1_95
SDN,Sudan,2024,0,28.78,18.828776142240564,-9.951223857759436,-34.57687233399882,1,Low income,MCV1_95
CAF,Central African Republic,2024,0,22.14,13.781252155457226,-8.358747844542775,-37.75405530490072,1,Low income,MCV1_95
NER,Niger,2024,0,62.63,55.649562017592224,-6.9804379824077785,-11.145518094198678,1,Low income,MCV1_95
GNB,Guinea-Bissau,2024,0,25.44,19.61205910936821,-5.82794089063179,-22.908572683211016,1,Low income,MCV1_95
MOZ,Mozambique,2024,0,20.39,15.675187002624275,-4.714812997375724,-23.12316330236685,1,Low income,MCV1_95
TGO,Togo,2024,0,41.2,36.57050946318393,-4.629490536816071,-11.236627516516586,1,Low income,MCV1_95
MLI,Mali,2024,0,15.12,12.318571583170414,-2.801428416829585,-18.527965719649853,1,Low income,MCV1_95
MDG,Madagascar,2024,0,3.38,1.9163881632979751,-1.4636118367020248,-43.30212534493263,1,Low income,MCV1_95
UGA,Uganda,2024,0,21.41,20.49901245339833,-0.9109875466016746,-4.254962851926295,1,Low income,MCV1_95
GMB,Gambia,2024,0,6.88,6.132966573782894,-0.7470334262171061,-10.858043985555932,1,Low income,MCV1_95
SYR,Syrian Arab Republic,2024,0,5.43,4.724606062755276,-0.7053939372447235,-12.99068024367832,1,Low income,MCV1_95
MWI,Malawi,2024,0,8.31,7.857714267026064,-0.4522857329739365,-5.442668266768878,1,Low income,MCV1_95
SLE,Sierra Leone,2024,0,5.32,5.063086064501447,-0.2569139354985532,-4.829209313791805,1,Low income,MCV1_95
PRK,Democratic People's Republic of Korea,2024,0,0.0,0.0337575066562348,0.0337575066562348,33757506656.23489,1,Low income,MCV1_95
RWA,Rwanda,2024,0,2.88,2.944946008275097,0.064946008275097,2.2550697316959005,1,Low income,MCV1_95
