Year,Metric,Correlation,P-value,N,Significance
2023,GDP per Capita,-0.30792174601423977,4.898291476046903e-05,168,***
2023,Health Expenditure (% GDP),-0.0109823083284368,0.9463765914438846,40,ns
2023,Vaccine Hesitancy (%),-0.07005377922156099,0.5369195384779477,80,ns
2023,Urban Population (%),-0.24294768930178975,0.0012373138609552514,174,**
2023,Birth Rate,0.41683749377458806,1.0564484173108267e-08,174,***
2023,Net Migration,-0.09025127652348065,0.2376519903830994,173,ns
2023,Population Density,-0.027207610699875626,0.7215618409814373,174,ns
2023,Political Stability Index,-0.5075720947243169,8.800583773816581e-13,174,***
2023,Household Size,0.4282429271826248,3.019129804893086e-08,154,***
2023,Vaccine Coverage 1st Dose (%),-0.20195602704702628,0.007358805739795039,175,**
2023,Vaccine Coverage 2nd Dose (%),-0.15798772931216526,0.03903819778553015,171,*
